player_id,series_id,game_id,agent,agent_role,kills,deaths,assists,fk,fd,clutches,aces,adr,points
30,10,22,Fade,Initiator,9.0,12.0,6.0,1.0,1.0,1,0,79.0,16.9
23,10,22,Clove,Controller,13.0,17.0,6.0,3.0,4.0,1,0,119.0,23.4
8,10,22,Deadlock,Sentinel,4.0,18.0,4.0,1.0,2.0,0,0,44.0,1.4000000000000004
39,10,22,Killjoy,Sentinel,25.0,9.0,6.0,5.0,1.0,1,0,205.0,55.0
53,10,22,Sova,Initiator,21.0,14.0,9.0,1.0,2.0,0,0,196.0,38.1
34,10,22,Jett,Duelist,14.0,10.0,4.0,3.0,2.0,0,0,142.0,29.200000000000003
55,10,22,Omen,Controller,12.0,10.0,9.0,1.0,2.0,1,0,96.0,23.1
9,10,22,Breach,Initiator,9.0,14.0,8.0,1.0,2.0,0,0,92.0,15.200000000000001
7,10,23,Sage,Sentinel,19.0,14.0,7.0,3.0,1.0,0,0,143.0,34.8
30,10,23,Skye,Initiator,12.0,11.0,8.0,0.0,0.0,0,0,127.0,23.200000000000003
49,10,23,Brimstone,Controller,13.0,16.0,10.0,3.0,2.0,1,0,115.0,27.5
23,10,23,Raze,Duelist,14.0,15.0,4.0,1.0,7.0,0,0,142.0,17.700000000000003
8,10,23,Viper,Controller,9.0,20.0,6.0,2.0,2.0,0,0,96.0,13.600000000000001
9,10,23,Skye,Initiator,16.0,11.0,13.0,1.0,1.0,1,0,134.0,33.4
53,10,23,Gekko,Initiator,17.0,16.0,7.0,4.0,2.0,0,0,160.0,34.5
55,10,23,Brimstone,Controller,13.0,13.0,9.0,1.0,0.0,2,0,135.0,30.5
39,10,23,Viper,Controller,15.0,14.0,3.0,3.0,3.0,0,0,141.0,26.6
34,10,23,Raze,Duelist,15.0,13.0,1.0,3.0,3.0,0,0,126.0,24.6
58,11,24,Jett,Duelist,19.0,10.0,3.0,7.0,1.0,1,0,169.0,47.400000000000006
25,11,24,Breach,Initiator,13.0,7.0,10.0,0.0,1.0,1,0,118.0,27.3
22,11,24,Omen,Controller,13.0,9.0,8.0,1.0,1.0,0,0,130.0,26.5
